Price;Adj Close;Adj Close;Adj Close;Adj Close;Adj Close;Adj Close;Close;Close;Close;Close;Close;Close;High;High;High;High;High;High;Low;Low;Low;Low;Low;Low;Open;Open;Open;Open;Open;Open;Volume;Volume;Volume;Volume;Volume;Volume
Ticker;AAPL;AMZN;GOOG;META;MSFT;NVDA;AAPL;AMZN;GOOG;META;MSFT;NVDA;AAPL;AMZN;GOOG;META;MSFT;NVDA;AAPL;AMZN;GOOG;META;MSFT;NVDA;AAPL;AMZN;GOOG;META;MSFT;NVDA;AAPL;AMZN;GOOG;META;MSFT;NVDA
2024-05-21 00:00:00+00:00;191.91647338867188;183.14999389648438;179.10015869140625;463.72674560546875;427.41253662109375;95.36344146728516;192.35000610351562;183.14999389648438;179.5399932861328;464.6300048828125;429.0400085449219;95.38600158691406;192.72999572753906;183.25999450683594;179.82000732421875;470.70001220703125;432.9700012207031;95.4000015258789;190.9199981689453;180.75;177.30999755859375;462.2699890136719;424.8500061035156;93.18000030517578;191.08999633789062;182.3000030517578;178.39999389648438;467.1199951171875;426.8299865722656;93.5989990234375;42309400;50839100;14706000;11742200;21453300;328946000
2024-05-22 00:00:00+00:00;190.46974182128906;183.1300048828125;177.56393432617188;466.8706359863281;428.8869323730469;94.92754364013672;190.89999389648438;183.1300048828125;178.0;467.7799987792969;430.5199890136719;94.94999694824219;192.82000732421875;185.22000122070312;178.8520050048828;473.7200012207031;432.4100036621094;96.0199966430664;190.27000427246094;181.97000122070312;176.77999877929688;465.6499938964844;427.1300048828125;93.2490005493164;192.27000427246094;183.8800048828125;178.39999389648438;467.8699951171875;430.0899963378906;95.45899963378906;34648500;28148800;16189400;10078600;18073700;548648000
2024-05-23 00:00:00+00:00;186.45880126953125;181.0500030517578;174.63113403320312;464.87451171875;425.3802795410156;103.77445220947266;186.8800048828125;181.0500030517578;175.05999755859375;465.7799987792969;427.0;103.79900360107422;191.0;184.75999450683594;179.91000366210938;474.3599853515625;433.6000061035156;106.31999969482422;186.6300048828125;180.0800018310547;174.5399932861328;461.5400085449219;425.4200134277344;101.5199966430664;190.97999572753906;183.66000366210938;178.77999877929688;472.8800048828125;432.9700012207031;102.02799987792969;51005900;33670200;14928400;11747900;17211700;835065000
2024-05-24 00:00:00+00:00;189.5518035888672;180.75;175.8980255126953;477.29034423828125;428.5283203125;106.44381713867188;189.97999572753906;180.75;176.3300018310547;478.2200012207031;430.1600036621094;106.46900177001953;190.5800018310547;182.44000244140625;177.3040008544922;479.8500061035156;431.05999755859375;106.4749984741211;188.0399932861328;180.3000030517578;175.1999969482422;466.29998779296875;424.4100036621094;103.0;188.82000732421875;181.64999389648438;176.52000427246094;467.6199951171875;427.19000244140625;104.4489974975586;36294600;27434100;11400600;12012300;11845800;429494000
2024-05-28 00:00:00+00:00;189.56179809570312;182.14999389648438;177.58387756347656;478.987060546875;428.6877136230469;113.87405395507812;189.99000549316406;182.14999389648438;178.02000427246094;479.9200134277344;430.32000732421875;113.9010009765625;193.0;182.24000549316406;178.50999450683594;480.8599853515625;430.82000732421875;114.93900299072266;189.10000610351562;179.49000549316406;175.67999267578125;474.8399963378906;426.6000061035156;109.88300323486328;191.50999450683594;179.92999267578125;175.74000549316406;476.5799865722656;429.6300048828125;110.24400329589844;52280100;29927000;15655300;10175800;15718000;652728000
2024-05-29 00:00:00+00:00;189.86111450195312;182.02000427246094;176.96539306640625;473.4378356933594;427.5420837402344;114.79783630371094;190.2899932861328;182.02000427246094;177.39999389648438;474.3599853515625;429.1700134277344;114.82499694824219;192.25;184.0800018310547;178.22999572753906;479.8500061035156;430.94000244140625;115.49199676513672;189.50999450683594;181.5500030517578;176.25999450683594;473.70001220703125;425.69000244140625;110.9010009765625;189.61000061035156;181.6999969482422;176.80999755859375;474.6600036621094;425.69000244140625;113.05000305175781;53068000;32009300;15023800;9226200;15517100;557442000
2024-05-30 00:00:00+00:00;190.85885620117188;179.32000732421875;173.1348114013672;466.14202880859375;413.0970764160156;110.47386169433594;191.2899932861328;179.32000732421875;173.55999755859375;467.04998779296875;414.6700134277344;110.5;192.17999267578125;181.33999633789062;176.69000244140625;471.7300109863281;424.29998779296875;115.81900024414062;190.6300048828125;178.36000061035156;173.22999572753906;464.7099914550781;414.239990234375;109.66300201416016;190.75999450683594;181.30999755859375;176.69000244140625;471.6700134277344;424.29998779296875;114.6500015258789;49947900;29249200;18844000;10735200;28424800;487350000
2024-05-31 00:00:00+00:00;191.8166961669922;176.44000244140625;173.53382873535156;465.9224853515625;413.5553283691406;109.60707092285156;192.25;176.44000244140625;173.9600067138672;466.8299865722656;415.1300048828125;109.63300323486328;192.57000732421875;179.2100067138672;174.4199981689453;469.1199951171875;416.75;112.71700286865234;189.91000366210938;173.8699951171875;170.97000122070312;454.4599914550781;404.510009765625;106.94000244140625;191.44000244140625;178.3000030517578;173.39999389648438;465.79998779296875;416.75;112.5199966430664;75158300;58903900;28085200;16919800;47995300;613263000
2024-06-03 00:00:00+00:00;193.59266662597656;178.33999633789062;173.99270629882812;476.5617370605469;411.951416015625;114.97279357910156;194.02999877929688;178.33999633789062;174.4199981689453;477.489990234375;413.5199890136719;115.0;194.99000549316406;178.6999969482422;175.86000061035156;479.6000061035156;416.42999267578125;115.0;192.52000427246094;175.9199981689453;172.4499969482422;468.239990234375;408.9200134277344;112.00299835205078;192.89999389648438;177.6999969482422;173.8800048828125;470.8599853515625;415.5299987792969;113.62100219726562;50080500;30786600;20742800;11279400;17484700;438392000
