;AAPL;AMZN;GOOG;META;MSFT;NVDA
2024-05-21 00:00:00+00:00;191.91647338867188;183.14999389648438;179.10015869140625;463.72674560546875;427.41253662109375;95.36344146728516
2024-05-22 00:00:00+00:00;191.8878252388227;183.14959807443148;179.06973840694616;463.7890008605353;427.441732576578;95.35480982714361
2024-05-23 00:00:00+00:00;191.7803198136882;183.10802193536864;178.98184525103045;463.8104961250544;427.4009117243886;95.5215354188729
2024-05-24 00:00:00+00:00;191.73619077953333;183.06132843169797;178.92077951363768;464.07742381046484;427.4232366469255;95.73781822520554
2024-05-28 00:00:00+00:00;191.69313349866542;183.0432822032779;178.8943062076939;464.3726641418789;427.4482757949675;96.0969516059951
2024-05-29 00:00:00+00:00;191.6568558947701;183.0230192739548;178.8561099078664;464.55217248943296;427.4501333780421;96.46726615446472
2024-05-30 00:00:00+00:00;191.64105392063945;182.94969230465307;178.74281686813376;464.5836547927827;427.165914428299;96.74462448198693
2024-05-31 00:00:00+00:00;191.64453198492367;182.82078755488578;178.6396685882767;464.61016628899614;426.89639787267214;96.99932639170703
2024-06-03 00:00:00+00:00;191.68310890850887;182.7320590159354;178.5476495330401;464.8468310567496;426.6004576378791;97.35523663304159
2024-06-04 00:00:00+00:00;191.7272445100653;182.6648894579543;178.4714774284641;465.0689277412307;426.36068145205786;97.73254802595359
2024-06-05 00:00:00+00:00;191.80053724911411;182.6374658801591;178.43513560235513;465.6437528397181;426.2822846281697;98.22123090920938
2024-06-06 00:00:00+00:00;191.84491584802552;182.68424873401733;178.4247979852293;466.1815030880575;426.2155001398644;98.67168922012308
2024-06-07 00:00:00+00:00;191.93603124283953;182.7162438690221;178.36725646900726;466.69279368961674;426.13682189026616;99.11104993888458
2024-06-10 00:00:00+00:00;191.95085682021679;182.8022587935681;178.32825726429147;467.38448005858004;426.13900321441463;99.55956760983295
2024-06-11 00:00:00+00:00;192.24258451622734;182.8899367526566;178.3208808731514;468.15871727470034;426.2360274439637;99.98197868497085
2024-06-12 00:00:00+00:00;192.64549933204154;182.96914591378516;178.34074351114438;468.9446991021428;426.49644200726385;100.48096240275571
2024-06-13 00:00:00+00:00;193.06355164454135;182.98619256561227;178.304444826015;469.62143824140264;426.7619579829477;101.05737861416848
2024-06-14 00:00:00+00:00;193.43875018387436;182.9995353596023;178.30109934523992;470.29585539294976;427.0417456536133;101.6673245754365
2024-06-17 00:00:00+00:00;193.8891047521895;183.02053461106746;178.30592842060878;471.0057821329254;427.43040851137744;102.247373154775
2024-06-18 00:00:00+00:00;194.28351865483796;183.01636556052344;178.26458395360493;471.56039924976255;427.77132996934364;102.90701065215492
